satzart,textkennzeichen,land,rb,kreis,vb,gemeinde,gemeindename,flaeche,bevoelkerung,maennlich,weiblich,jekm2,postleitzahl,laengengrad,breitengrad,schluessel,bezeichnung,verstaedterungschluessel,verstaedterungbezeichnung
10,,01,,,,,Schleswig-Holstein,,,,,,,,,,,,
40,41,01,0,01,,,"Flensburg, Stadt",,,,,,,,,,,,
50,50,01,0,01,0000,,"Flensburg, Stadt",,,,,,,,,,,,
60,61,01,0,01,0000,000,"Flensburg, Stadt", 53.02, 90 164, 44 904, 45 260, 1 701,24937,"9,43751","54,78252",F02,Ostsee,01,dicht besiedelt
40,41,01,0,02,,,"Kiel, Landeshauptstadt",,,,,,,,,,,,
50,50,01,0,02,0000,,"Kiel, Landeshauptstadt",,,,,,,,,,,,
60,61,01,0,02,0000,000,"Kiel, Landeshauptstadt", 118.65, 246 794, 120 198, 126 596, 2 080,24103,"10,13727","54,321775",F02,Ostsee,01,dicht besiedelt
40,41,01,0,03,,,"Lübeck, Hansestadt",,,,,,,,,,,,
50,50,01,0,03,0000,,"Lübeck, Hansestadt",,,,,,,,,,,,
60,61,01,0,03,0000,000,"Lübeck, Hansestadt", 214.19, 216 530, 104 032, 112 498, 1 011,23552,"10,683932","53,866269",F02,Ostsee,01,dicht besiedelt
40,41,01,0,04,,,"Neumünster, Stadt",,,,,,,,,,,,
50,50,01,0,04,0000,,"Neumünster, Stadt",,,,,,,,,,,,
60,61,01,0,04,0000,000,"Neumünster, Stadt", 71.66, 80 196, 39 723, 40 473, 1 119,24534,"9,988422","54,069895",F04,übrig. Schleswig-Holstein,01,dicht besiedelt
40,43,01,0,51,,,Dithmarschen,,,,,,,,,,,,
50,50,01,0,51,0011,,"Brunsbüttel, Stadt",,,,,,,,,,,,
60,63,01,0,51,0011,011,"Brunsbüttel, Stadt", 65.21, 12 380, 6 240, 6 140,  190,25541,"9,13735","53,896932",F01,Nordsee,02,mittlere Besiedlungsdichte
50,50,01,0,51,0044,,"Heide, Stadt",,,,,,,,,,,,
60,63,01,0,51,0044,044,"Heide, Stadt", 31.97, 21 852, 10 435, 11 417,  684,25746,"9,091156","54,193962",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
50,51,01,0,51,5163,,Burg-St. Michaelisdonn,,,,,,,,,,,,
60,64,01,0,51,5163,003,Averlak, 9.06,  554,  288,  266,  61,25715,"9,182663","53,941154",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,010,Brickeln, 6.07,  212,  114,  98,  35,25712,"9,221166","54,00849",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,012,Buchholz, 14.56,  998,  520,  478,  69,25712,"9,223774","53,987132",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,016,Burg (Dithmarschen), 11.25, 4 159, 2 033, 2 126,  370,25712,"9,26246","53,99748",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,022,Dingen, 7.01,  627,  329,  298,  89,25715,"9,125804","53,960888",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,024,Eddelak, 9.21, 1 330,  669,  661,  144,25715,"9,137433","53,945888",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,026,Eggstedt, 12.79,  756,  396,  360,  59,25721,"9,25927","54,054535",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,032,Frestedt, 10.33,  350,  182,  168,  34,25727,"9,175759","54,023639",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,037,Großenrade, 10.40,  454,  230,  224,  44,25712,"9,223435","54,02206",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,051,Hochdonn, 5.46, 1 059,  531,  528,  194,25712,"9,293145","54,019564",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,064,Kuden, 11.37,  601,  307,  294,  53,25712,"9,192822","53,967853",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,089,Quickborn, 6.95,  189,  94,  95,  27,25712,"9,206618","54,009984",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,097,Sankt Michaelisdonn, 23.06, 3 399, 1 665, 1 734,  147,25693,"9,122148","53,994438",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5163,110,Süderhastedt, 15.74,  755,  373,  382,  48,25727,"9,20886","54,04991",F04,übrig. Schleswig-Holstein,03,gering besiedelt
50,51,01,0,51,5166,,Marne-Nordsee,,,,,,,,,,,,
60,64,01,0,51,5166,021,Diekhusen-Fahrstedt, 7.46,  683,  330,  353,  92,25709,"9,023165","53,946249",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
60,64,01,0,51,5166,034,Friedrichskoog, 53.27, 2 539, 1 283, 1 256,  48,25718,"8,89741","54,013926",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5166,046,Helse, 11.44,  828,  421,  407,  72,25709,"9,010226","53,977556",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5166,057,Kaiser-Wilhelm-Koog, 13.05,  348,  179,  169,  27,25709,"8,926364","53,942933",F01,Nordsee,03,gering besiedelt
60,64,01,0,51,5166,062,Kronprinzenkoog, 28.84,  803,  411,  392,  28,25709,"8,964528","53,97171",F01,Nordsee,03,gering besiedelt
60,63,01,0,51,5166,072,"Marne, Stadt", 4.83, 5 951, 2 865, 3 086, 1 232,25709,"9,008761","53,953695",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
60,64,01,0,51,5166,073,Marnerdeich, 1.31,  396,  209,  187,  302,25709,"8,982956","53,948483",F04,übrig. Schleswig-Holstein,02,mittlere Besiedlungsdichte
60,64,01,0,51,5166,076,Neufeld, 10.40,  594,  301,  293,  57,25724,"9,019046","53,907224",F04,übrig. Schleswig-Holstein,03,gering besiedelt
60,64,01,0,51,5166,077,Neufelderkoog, 9.77,  119,  64,  55,  12,25724,"8,968827","53,906958",F01,Nordsee,03,gering besiedelt
