the_geom,cartodb_id,_user,plz,einwohner,promille
,87,761,101,79724,9.55
,88,2244,102,114829,19.54
,89,991,103,153429,6.46
,90,2286,104,139757,16.36
,91,895,105,109113,8.2
,92,203,106,38989,5.21
,93,833,107,143290,5.81
,94,570,108,45025,12.66
,95,2396,109,141200,16.97
,106,3159,120,157942,20
,107,920,121,198261,4.64
,108,399,122,140733,2.84
,109,394,123,199958,1.97
,110,756,124,99517,7.6
,111,454,125,152483,2.98
,112,462,126,243771,1.9
,114,573,130,153233,3.74
,115,824,131,158678,5.19
,117,1500,133,147289,10.18
,118,391,134,180894,2.16
,119,502,135,247429,2.03
,120,72,136,28956,2.49
,122,331,140,82116,4.03
,123,496,141,148746,3.33
,126,688,144,155922,4.41
,127,251,145,133937,1.87
,128,134,146,105559,1.27
,129,161,147,150752,1.07
,130,172,148,31044,5.54
,131,121,149,95836,1.26
,133,65,152,74558,0.87
,134,249,153,149304,1.67
,135,140,155,102896,1.36
,136,163,157,98606,1.65
,137,165,158,137393,1.2
,138,39,159,53572,0.73
,141,194,162,112869,1.72
,142,182,163,147311,1.24
,144,175,165,103214,1.7
,145,144,167,98356,1.46
,146,125,168,85102,1.47
,147,57,169,44148,1.29
,148,97,170,108094,0.9
,149,104,171,115624,0.9
,150,165,172,136059,1.21
,151,76,173,110942,0.69
,152,323,174,118772,2.72
,153,11,175,12673,0.87
,157,280,180,100057,2.8
,158,147,181,157153,0.94
,159,91,182,132874,0.68
,160,33,183,52691,0.63
,161,75,184,81798,0.92
,162,62,185,87029,0.71
,163,3,186,5147,0.58
,164,129,190,140942,0.92
,165,59,192,114056,0.52
,166,90,193,130173,0.69
,167,19,194,18158,1.05
,170,144,200,13928,10.34
,171,158,201,34756,4.55
,172,532,202,87618,6.07
,173,439,203,35073,12.52
,174,55,204,9713,5.66
,175,275,205,55924,4.92
,179,383,210,223606,1.71
,180,267,211,108569,2.46
,181,143,212,143216,1
,182,490,213,159242,3.08
,183,172,214,153297,1.12
,184,54,215,73900,0.73
,185,122,216,154155,0.79
,186,72,217,108514,0.66
,188,541,220,171730,3.15
,189,344,221,286098,1.2
,190,95,222,29708,3.2
,191,601,223,230798,2.6
,192,164,224,114828,1.43
,193,351,225,180175,1.95
,194,73,226,38431,1.9
,195,945,227,105141,8.99
,196,188,228,141532,1.33
,197,163,229,106367,1.53
,203,308,235,209577,1.47
,204,75,236,92719,0.81
,205,123,237,146326,0.84
,206,164,238,135848,1.21
,207,124,239,141781,0.87
,208,716,241,266701,2.68
,209,136,242,128515,1.06
,210,160,243,102172,1.57
,211,4,244,5266,0.76
,212,154,245,182389,0.84
,213,48,246,62293,0.77
,214,82,247,72995,1.12
,215,92,248,107315,0.86
,216,281,249,166719,1.69
,219,119,253,109372,1.09
,220,164,254,175428,0.93
,221,102,255,119054,0.86
,222,5,256,4690,1.07
,7,674,011,182280,3.7
,8,379,012,157358,2.41
,9,299,013,88723,3.37
,10,119,014,90093,1.32
,12,158,016,125449,1.26
,13,200,017,158636,1.26
,14,72,018,120420,0.6
,15,120,019,151056,0.79
,20,82,026,100148,0.82
,21,157,027,130034,1.21
,22,118,028,75421,1.56
,23,105,029,139700,0.75
,24,222,030,124115,1.79
,25,87,031,101202,0.86
,26,70,032,79688,0.88
,35,643,043,128837,4.99
,36,55,044,91796,0.6
,37,50,045,109013,0.46
,38,73,046,185953,0.39
,39,60,047,106766,0.56
,40,99,048,143548,0.69
,41,44,049,60325,0.73
,49,617,061,299823,2.06
,50,63,062,146232,0.43
,51,57,063,120773,0.47
,52,61,064,150187,0.41
,53,48,065,118469,0.41
,56,115,068,168396,0.68
,57,34,069,41616,0.82
,61,48,073,88343,0.54
,62,23,074,53136,0.43
,63,78,075,141288,0.55
,64,46,076,56847,0.81
,65,351,077,133980,2.62
,66,12,078,16616,0.72
,67,34,079,97514,0.35
,68,95,080,93198,1.02
,69,29,081,62230,0.47
,70,59,082,133393,0.44
,71,63,083,127539,0.49
,72,57,084,96279,0.59
,73,40,085,81077,0.49
,74,12,086,29540,0.41
,79,324,091,225540,1.44
,80,55,092,86573,0.64
,81,84,093,144245,0.58
,82,66,094,126056,0.52
,83,87,095,114255,0.76
,84,49,096,106449,0.46
,223,98,257,117080,0.84
,224,83,258,110051,0.75
,225,36,259,56387,0.64
,226,504,261,262101,1.92
,227,40,262,52398,0.76
,228,97,263,127773,0.76
,229,81,264,106242,0.76
,230,40,265,75719,0.53
,231,109,266,168555,0.65
,232,108,267,108801,0.99
,233,87,268,171713,0.51
,234,39,269,87146,0.45
,237,67,272,112604,0.6
,238,171,273,147107,1.16
,239,104,274,144350,0.72
,240,66,275,108071,0.61
,241,74,276,102703,0.72
,242,151,277,204855,0.74
,243,17,278,20278,0.84
,245,186,281,44002,4.23
,246,833,282,260368,3.2
,247,151,283,141826,1.06
,250,91,287,116155,0.78
,251,172,288,168897,1.02
,255,51,292,69081,0.74
,256,87,293,147138,0.59
,257,134,294,80378,1.67
,258,103,295,88864,1.16
,259,129,296,133420,0.97
,263,657,301,177701,3.7
,266,578,304,156319,3.7
,267,94,305,72777,1.29
,268,110,306,99875,1.1
,270,143,308,182172,0.78
,271,207,309,186542,1.11
,272,50,310,78097,0.64
,273,369,311,217689,1.7
,274,135,312,134429,1
,275,65,313,71888,0.9
,277,202,315,173047,1.17
,278,116,316,118302,0.98
,279,100,317,106453,0.94
,280,99,318,120638,0.82
,281,71,320,65319,1.09
,282,102,321,107593,0.95
,283,68,322,71569,0.95
,284,64,323,92978,0.69
,285,192,324,158230,1.21
,286,107,325,88559,1.21
,287,176,326,127361,1.38
